pid,comment,Sentiment_for_model
502,@evenu  this might help. https://intercom.help/funding-societies/investing-with-funding-societies/withholding-tax-explained,Positive
503,https://intercom.help/funding-societies/investing-with-funding-societies/withholding-tax-explained  yup. they charge a withholding tax and transfer fees must be borne by you.,Neutral
509,"hye admin, i keep on received your email. mind to explain, how the investment works.tq",Neutral
510,"Interesting. I guess under this circumstances I could only thank you, and wish you a Merry Christmas, and a Happy New Year!",Positive
511,"My Singapore account is now open, but transferring money is a hassle -- at least for the first time user. I used TT, and it wasn't a straightforward process. I had to call both FS S'pore and my own bank officer to walk me through the process. Took me over an hour, and yet I am left wondering whether the transaction was successful. I suppose it is.",Negative
515,"@yscenteno - Transferwise is not available for RM. We could receive in RM, but not send from one.   So, yesterday, I signed up with https://www.instarem.com/ - a Singapore-based start-up not unlike Transferwise but apparently supports RM.",Neutral
519,"Per RM1,000 can get how much Return @10.8% & 0.16% service fee",Neutral
520,"Please correct me if my understanding of the return below is wrong.  If I invest RM100, I will have to pay RM1.60 for service fee but I should get a return of RM0.90 only since it is 10.8% pa which works out to RM0.90 a month.",Neutral
521,"@ebizworks  Sorry the service fee should be RM0.16.  Therefore my net return is RM0.74 which works out to be about 8.88% pa, right?",Neutral
522,"Please correct if I am wrong.  If I invest RM100, I will get RM4 of interest but need to pay RM0.60 on service fee; therefore my net return is RM3.40 or 8.5% net yield.",Neutral
523,"Please correct if I am wrong. If I invest RM100, I will get RM4 of interest but need to pay RM0.70 on service fee; therefore my net return is RM3.30 or 9.9% simple net yield.",Neutral
524,"@ebizworks  sorry, should it be 10.2% simple net yield?",Neutral
529,1 Month interest rate: 0.9%  Total repayment will receive: RM1000*1.009%= RM1009  Service fee collected:  RM1.61  Net Repayment: 1007.39  Net return: 7.39  Annualized return: 8.86%,Neutral
541,"Business Term Financing : MBBT-17120050 Industry        :   Retail trade Funding amount      :   RM1,000,000 Tenor      :  12 month Simple interest rate p.a.      :  10.5% Effective interest rate p.a.  : 18.85%  Minimum investment amount      :  RM 100 Service fee : 2%   Crowdfund at 4pm, 19/12/17",Neutral
544,"@evenu I thought the two countries SG & MY, would be heavily connected, given their past history and proximity to one another, but seems to be the contrary. Is there really no legit and easy way to send RM to singapore?",Neutral
547,"@jonhan - that was the case -- once. We even had a separate passport. In the early 90's (I was in S'pore then, attending college), the exchange rate was SGD 1 to RMY 1.4. Today, the former has joined the first world club, whereas we ... well, we are entangled in some middle-income web.  Returning to the topic at hand, the money I transfered from M'sia successfully reached FS S'pore. These are the costs:  * **Exchange rate cost** is about 1.5% of the money transfered. So, if you transfer SDG 1,000, you'd pay approx. RM 3,073.60 (per today's CIMB TT rate), which includes a hidden fee of RM 43.  * **Service Fee** is typically RM 10.60 (incl. of GST).  * **beneficiary bank / agent charges** is a yet another hidden fee. This is a fixed cost, and is approx. SGD 20, or RM60.60.  *Bottom-line*: Investing in FS Singapore is possible, and is  quite hassle-free after the first attempt, but be prepared to lose approx. RM 114.20 for every SGD 1,000 you deposit. That's 3.8% upfront loss!",Negative
549,Service fee is charged based on the amount we put ? How many times of charges is there? Is there charges for withdrawing money back into our account ?,Neutral
551,"So let say we put in RM 100 After one month, we get back RM 110 (capital + interest)  So service charge based on RM 10 or RM 100?",Neutral
552,@edwin0908,Neutral
554,@edwin0908 why my post was deleted. Not transparent to all the participants ?,Negative
555,Interest only start calculating after the fund is fully disbursed to sme?   Or start calculating once we invest?,Neutral
557,"Frankly, I expect better promotion. Check out what other P2P Operators are doing....",Neutral
566,How do we go about if I want to invest ??,Neutral
568,It appears this particular company is a permanent borrower at FS. Why I wonder.,Neutral
569,@evenu have you considered just opening a bank account in singapore?,Neutral
571,@jerry just open an account with Funding Societies Malaysia and you can start investing.https://fundingsocieties.com.my,Positive
572,"@jonhan - Yes, I have. But, it doesn't appear practical for me. Here is why:  ""[M]ost Singaporean banks will require your passport and your employment or study pass in order to consider your application. You can only apply for an employment pass through your employer, which means you can’t get one unless you have a job. In the same way, you’ll need to submit a number of documents in order to obtain a student pass, including a study plan. Unfortunately, these requirements make it very difficult to open a bank account in Singapore if you’re just visiting and don’t plan to settle there."" ****Source**: [TransferWise](https://transferwise.com/gb/blog/opening-a-bank-account-in-singapore)**.",Neutral
574,"@vamsi7 - Thank you for encouraging us to invest in both the above platforms. I have. I would deeply appreciate if you'd also advise us how we could repatriate the funds back to Malaysia with minimal hassle. I haven't figured that one out.  In Indonesia, for example, ModalKu sets up a virtual account in Bank Sinarmas, which is nice. But how does one take money out of it, when only banks operating in Indonesia are given as options for 'Penarikan'. Although this is not something I plan to do any time soon, but one needs to have an exit strategy, right?",Neutral
586,"### 7 things to know about Funding Societies before you invest  *Investor: ‘I want higher returns from my investment.’ Businessman: ‘I need immediate cash to run my businesses.’*  As I write, there is a new and vibrant platform that acts as a marketplace to connect SMEs that require financing and investors who are seeking for high yielding investment vehicles in Malaysia. The platform is commonly known as peer-to-peer (P2P) financing.  In 2016, the Securities Commission (SC) has announced the P2P financing’s regulatory framework and has approved six P2P operators in Malaysia. One of them is Funding Societies. Personally, I’ve explored its facilities, registered an account and began investing. Thus, I’ll be sharing my personal experience and what I know thus far about investing via Funding Societies.  Therefore, here are the seven things you need to know about Funding Societies before you invest.  #### 1: What’s Funding Societies?  Funding Societies was launched in February 2017 as the first P2P operator in Malaysia. Presently, it is also the largest P2P operator in our nation. Since its launch, Funding Societies has crowdfunded RM 310.8 million regionally (Malaysia, Singapore an Indonesia). For local SMEs in Malaysia as of December 2017, they had successfully funded RM18 million so far.  #### 2: What can Investors buy?  Investors can choose to invest in both or anyone of the two:  * Business Term Financing * Invoice Financing  Business Term Financing allows investors to provide financing to SMEs for the purposes of working capital and capital expenditures over a short period of time. The duration ranges between 1 to 24 months. In return, the investors would profit from receiving interest payments from the respective SMEs.  Invoice Financing allows investors to buy over future receivables or invoices of SMEs at a discount. SMEs would benefit as they receive instant cash from the investors. In return, investors would profit from receiving interest income from the respective SMEs.  #### 3: How Much am I making?  Here is one of my investments in Funding Societies:  ![0_1515471919067_afacc805-1c50-4360-9164-c9c0253129a4-image.png](/assets/uploads/files/1515471921103-afacc805-1c50-4360-9164-c9c0253129a4-image-resized.png)   The details are as followed:  * Investment (Principal) = RM 1,000. * Tenure = 12 months. * Simple Interest Rate per annum = 13% (before service fees) * Net Repayment = RM 1,107.44 (after service fee) * Net Interest Income = RM 107.44  **Expected Net Returns on Investment (ROI) = 10.74%**  Looking at the simple interest return of 10.74% might already be appealing, but the real effective compound return is way higher than that. If you’ve gone through one of my Time Value of Money webinars, you will be able to calculate the **effective annual rate which is 19.26%.**  However, there are risks involved. Let’s examine them.  #### 4: What is my Risk?  As I’m a financing provider (like a banker), I would face the risk of potential loan defaults and late payments. As at December 2017, Funding Societies has reported a default rate of 1.4%, which in my opinion is very good. This low default rate is based on the track record of their Singapore HQ. In their few months operation here in Malaysia, there is zero default so far.  **Creditworthiness** Funding Societies provide a scorecard-based assessment of the SME’s creditworthiness. It is based on its business model, its financials, the directors’ CTOS and CCRIS scores, and its repayment behaviours.  **Site Visits** In addition, Funding Societies may conduct site visits and interviews of directors of these SMEs to ensure that its portfolio of borrowers is of superior in quality.  Personally, I would screen through the potential borrowers by checking out their fact sheets before investing in them. The fact sheet contains:  **The Financing Details** This includes the financing amount, simple interest rate, its purpose, documents obtained by Funding Societies and potential net returns from this investment.  **The Company’s Summary** This includes the date of incorporation, the company’s business nature, its paid-up capital, number of employees, existing debt exposures, its financing records and repayment behaviour.  **Directors’ Summary** This includes the duration of the directorship of a director in the company, his financing records and repayment behaviour, and any involvements in litigations.  **Financials** The audited financial accounts and its financial ratios.  In addition, I would also diversify my investments to a number of borrowers so that my risk is well-spread out.  #### 5: How Much can I invest?  First and foremost, you may need to deposit RM 1,000 into your brand new account. From which, you can start investing with as little as RM 100. The maximum amount is capped at RM 50,000 per investment.  #### 6: How do I track my Portfolio?  I’m able to track my investment portfolio with ease in my account.  The Summary:  *Portfolio Summary* ![0_1515472149489_0d686958-c9ec-4976-8c81-3c61854960cd-image.png](/assets/uploads/files/1515472151879-0d686958-c9ec-4976-8c81-3c61854960cd-image-resized.png)   *The Investment Details* ![0_1515472186064_8d19144f-97d1-48b0-9d51-ba005b701064-image.png](/assets/uploads/files/1515472186277-8d19144f-97d1-48b0-9d51-ba005b701064-image-resized.png)  *The Investment Repayment Schedule*  ![0_1515472221756_8c7cf085-bba3-495e-b39e-38cb21bc2254-image.png](/assets/uploads/files/1515472222257-8c7cf085-bba3-495e-b39e-38cb21bc2254-image-resized.png)   #### 7: How do I open my Account?  I find that signing up is relatively easy. For those of you who are interested, click on this link to start:  [I want to Sign Up as an Investor in Funding Societies](http://promo.fundingsocieties.com.my/referral?r=j3mejime)  Disclosure: It is my affiliate link. When you sign up using this link and invest RM1000 successfully, we will both be credited with extra RM50 for investment.  Happy Investing & Happy New Year 2018!",Neutral
587,"I have use https://www.instarem.com/ to transfer money. You can use there service in Indonesia, Malaysia and Singapore",Neutral
588,Deleted.,Neutral
589,@jays48 - Have you successfully transfered money to Funding Societies Singapore using Instarem? I know it works for ModalKu Indonesia.,Neutral
590,"@kc-lau said in [Funding Societies Review \- KC Lau \(Personal finance author and trainer\)](/post/586): > Funding Societies provide a scorecard-based assessment of the SME’s creditworthiness. It is based on its business model, its financials, the directors’ CTOS and CCRIS scores, and its repayment behaviours.  I am not certain if the above is there in the Factsheets distributed by FSMY. While they do contain valuable information, I feel the analysis would benefit from an increased dose of skepticism. The recent one, for example, makes no reference to the fact (even under the ""Weaknesses"" heading) that the principal director has eight credit cards, and seem to have loaded them with huge debts! I'm not giving the opportunity a skip, but I cannot stave off the negative feeling I have about the loan.",Negative
597,Selamat pagi.Persoalan :- Apa maksud 1) Tenor  2)Simple Interest Rate p.a.  3)Effective Interest Rate p.a ?.Tq.,Neutral
600,Re: [New investment opportunity: Business Term Financing [ID: MBBT-18010004]](/topic/118/new-investment-opportunity-business-term-financing-id-mbbt-18010004),Neutral
602,"If I invest RM 1000 , how much and how often I get back the return from investment after deducting service fee ?",Neutral
603,"@vamsi7  If I invest RM 1000 , how much and how often I get back the return from investment after deducting service fee ?",Neutral
